生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
安全燈	金屬, 細網, 提打灯, 煤鑛, 爆裂, 採煤		英	舍富利德維含富利德維		I_01_22_16.ann
鵓鴿	鳩, 山鳩, 家鴿, 八目, 黙烏, 全白, 僧, 纏項白, 紫段, 黔隱層, 紫虛頭, 黑虛頭, 十五雜目, 實點烏, 紫點烏, 多臺點烏, 黑虛尾, 紫虛尾, 墨僧, 古達纏項白, 紫魚濃, 黑魚濃, 加治魚濃, 紫貫子, 黑貫子, 紫揮項, 黑揮項, 德去摩尼, 緊高頭, 模外, 摩尼, 長突伊, 點烏與全白交生絲點烏, 僧與黑質交生墨僧, 纏項白與白質交生古達纏項白, 紫段與白質交生紫魚濃, 黔隱層與白質交生黑魚濃, 揮項與白質交生貫子, 虛頭與白質交生揮項, 德去摩尼與全白交生鵲魚濃, 雜目不論大小, 有恒匹 群處不亂, 喜晴 陰曀則處閣不飛, 不集樹木, 食菽、稻、紅藍花子, 體重脚弱, 其步也搖搖焉, 先引頸而後引足, 雌雄相與吮舌, 鴿性淫, 其飛也繞屋數匝而止, 鴿性侈, 山家養鴿 虎亦避之, 鴿閣, 鴿篳, 見幾而飛, 遼東多畜鵓鴿		遼東	張潮山來, 柳泠齋得恭, 朴燕巖趾源, 朴松堂英	禽經, 檀几叢書, 鵓鴿經, 鵓鴿經, 和漢三才圖會, 物理小識, 耳目口心書, 遊燕錄, 熱河日記, 花鏡, 山林經濟, 經驗方, 月令, 鵓鴿字書	O_19_01_06.ann
板舞	鄰居, 艶情, 顔面, 墻外, 婦女, 白板, 藁枕, 橫架, 兩端, 分立, 激盪, 踴跳, 倣慕		我國	周煌	琉球國記	I_01_24_19.ann
紙鳶	被圍, 空中, 外援, 陰正月, 初春, 兒童, 風俗, 木鳶		支那, 臺城, 我國	梁 武帝 蕭衍, 侯景, 墨翟		I_01_24_17.ann
羊	柔毛, 火畜, 金畜, 孕四月生, 性慢而剛毅 有跪乳之禮, 大曰羊, 小曰羔, 不入深山, 見靑皆食, 羶根, 臊羊, 雄羊, 羯羊, 岳大羊, 羊羔兒, 羖䍽, 山羊, 羔兒, 蒙古羊, 羬羊, 羊性惡濕 利居高燥, 羊眼無瞳, 食鉤吻而肥, 食仙茅而肪, 食仙靈脾而淫, 食一日百合, 食躑躅而死, 羊産時不使女子見之, 羊最易産, 黑白花班數種 俱宜作裘, 羊子未長時剝下 其毛嫩 多圈曲 包白如雪, 每一年一産, 産於春月者爲佳美, 每於春夏時 以氈片裹羝羊之腹 防與牝羊交接也, 羊角燈, 其骨灰可以磨鏡, 其革甚薄且淨, 以代紙牋書詔諭 名羊皮牋, 羊腸甚曲, 九曲羊腸之喩, 其腸柔韌 故爲彈綿弓弦, 其脂白如玉 製燭甚明, 中原則以羊爲日用常饌, 我東則只用於國家祭享, 羊心有竅 食之害人, 補漏甁 以羊血擦, 以羊尿胞納螢 係網入水 魚聚倍網, 羊性最好群行, 一羊導前 萬羊群隨, 愼勿與水 喫水則退脿, 羊性好鹽, 放羊法, 我東食牛 不食羊, 毧氈, 畜綿羊 一歲三剪毛, 綿羊剪毛 粗者爲氈 細者爲絨, 白、黑爲本色, 種羊法, 羊肚或懷珠 如豌豆, 割丸助長 與犍牛同, 變人爲牛羊, 千歲樹精爲靑羊, 以角掛樹而眠如梟, 以頭掛枝而瞑, 其角細曲附耳 而聽有戢戢聲者爲眞, 山羊血 治撲跌 及傷刀失血, 山羊血與肉 治百病, 其皮則渾脫全部爲褥席, 羊角可以碎金剛, 貘	元時, 新羅時, 嵯峨天皇弘仁十一年五月甲辰	東高夷, 我東, 西域, 嘉興, 河南, 江南, 安南, 貴州, 四川, 日本	王志遠, 蕭大亨, 徐鉉, 徐心橋, 沈猶氏, 李長行	曲禮, 本草綱目, 鶴林玉露, 汲冢周書·王會解, 玄亭涉筆, 譯語, 同文, 詩, 說文, 夷俗記, 丹房鑑源, 丹鉛總錄, 心鏡, 物類相感志, 竹窓小品, 物理小識, 珊瑚網, 酉陽雜俎, 古今祕苑, 俊靈機要, 易, 天工開物, 心略, 種羊辨證說, 觚賸, 騸畜辨證說, 委巷叢談, 魯論, 述異志, 聊齋志異, 西域種羊辨證說, 客中閑集, 淮南萬畢術, 桂海虞衡志, 粵述, 正字通	O_19_02_12.ann
斧	斫木, 斧頭, 鉄, 脫柄			神農	廣韻, 舊約全書 申命篇	I_01_23_32.ann
衣裳	衣服, 縫衣女, 吳服工, 裸體, 上帝, 皮衣, 人類	應神天皇	我國, 日本, 百濟	黃帝, 胡曾胡曹, 檀君, 西素, 亞當, 夏娃	世本, 創世紀	I_01_18_01.ann
斗建月建	十二月建, 斗柄, 二繩, 四鉤, 報德之維, 背陽之維, 常羊之維, 號通之維, 冬至, 十五日, 小寒, 大寒, 立春, 雨水, 雷驚蟄, 春分, 雷行, 淸明風至, 穀雨, 立夏, 小滿, 芒種, 夏至, 小暑, 大暑, 立秋, 處暑, 白露, 秋分, 寒露, 霜降, 立冬, 小雪, 大雪, 斗建, 月建, 正月, 寅月, 六月, 未月, 七月, 申月, 歲次, 北極, 璇機, 半恒, 四游, 日, 黃道, 氣, 驚蟄節, 術數家	劉宋, 淸		祖沖之, 梅文鼎, 戴東原震	逸周書, 宋書, 天文略, 淮南子·天文訓, 夏小正, 中星表	O_01_06_02.ann
田野溝渠	劃野, 井田, 田野, 畎澮, 九川, 匠人, 溝洫, 溝, 成, 洫, 渠, 陽渠, 灌漑		秦	黃帝, 夏禹, 周公, 鄭國	尙書 益稷, 周禮	I_01_02_07.ann
學校	國, 學, 鄕, 校, 大小學, 胄子, 大學, 上庠, 小學, 夏庠下庠, 東序, 西序, 左學, 右學, 東膠, 虞庠, 天子, 辟雍, 諸侯, 泮宮, 八條, 倫理, 禮義, 法律, 太學, 子弟, 敎育, 大舍, 國學, 國學卿, 博士, 書學博士, 學院, 六部, 生徒, 習業, 國子監, 京師, 大學寮, 助敎, 亞加德美	唐虞之代, 殷, 周, 小獸林王 二年, 眞德女王 五年, 神文王 二年, 近肖古王 二十九年, 太祖 十三年, 成宗, 十一年, 天智天皇, 天武天皇, 文武天皇	支那, 我東, 高麗高句麗, 新羅, 百濟, 高麗, 西京, 日本, 西洋, 希臘	舜, 夏禹, 箕子, 高興, 廷鶚, 布拉圖		I_01_06_01.ann
撙	裁抑					D_11_01_29.ann
冬至赤豆粥	不才, 冬至, 疫鬼, 赤小豆, 赤豆粥, 糯米粉, 鳥卵狀, 和密, 門板, 惡鬼		我國	共工氏	荊楚歲時記	I_01_28_23.ann
軍政	民數, 比, 閭, 族, 黨, 比長, 閭胥, 族師, 黨正, 大小, 遠近, 郡倅, 監司, 京兆, 摘發, 警懼, 徒法, 糾覈御史, 暗行州里, 搜剔隱漏, 搜剔, 笞, 杖, 贖, 配, 懲一勵百, 禁民遊移, 編額, 鄕里					S_07_01_93.ann
言語	分支, 義大利語, 西班牙語, 法蘭西語, 拉丁語, 俄羅斯語, 波蘭語, 波希密亞語, 斯拉夫語, 威爾斯語, 希臘語, 不列顚語, 塞耳語, 亞利安語系, 亞剌比亞語, 希伯流語, 敍利亞語, 塞美的語, 土耳其語, 凶牙利語, 蒙古語, 蒙蘭語, 韃靼語, 三大派, 梵語, 精語(派斯之古語), 印度及歐羅巴語, 非尼西亞語, 巴比倫語, 亞西里亞語, 加地治語, 中國語, 西藏語, 後印度語		西洋	夫律氏		I_01_03_02.ann
社稷	山川望秩, 社主, 稷, 國社, 天社	殷, 宣德王 四年, 故國壤王 九年, 開化天皇 七年	新羅, 高句麗, 日本	顓頊, 共工氏, 句龍, 烈山氏, 柱, 周棄, 黃帝	通典	I_01_08_11.ann
上元糯飯	正月, 十五日, 膏粥, 門戶, 糯米飯, 棗肉, 柿餠, 蒸栗, 柏子, 蜂蜜, 芝油芝麻油, 醬陳醬, 藥飯, 舊俗, 天柱寺, 飛鳥烏, 警告, 謀逆, 僧, 射殺, 國俗, 飼烏, 報賽	炤知王 十年	我國, 新羅		玉燭寶典, 東京雜記	I_01_28_06.ann
鴟尾	龍, 嘲風, 殿角, 蚩吻, 螭吻, 虬, 鴟, 殿脊, 霸下, 碑座, 螭虎, 鼇, 雌鼇, 龍, 龍, 龜形, 執金吾, 金吾, 美人, 鰥魚, 棒	漢武	柏梁殿	顧隣初宗伯, 漢光武帝, 師古, 應劭	對類總龜, 博物志, 唐會要, 總龜, 博物志, 說略, 韻會, 吳都賦, 廣雅, 古今注	O_09_02_03.ann
蒸氣機	璿璣玉衡, 銅渾儀, 用水激機, 蒸氣, 數學家, 建築學者, 空氣, 畵伯, 亞其頓禮耳, 汽銃雛形, 黃銅, 爆聲, 鉄丸, 水, 炭火, 海軍士官, 火機, 蒸氣機關, 汲夭, 啣筒, 金壙, 古剌斯哥 大學, 火氣, 壓力, 低度, 高低機	紀元前 二世紀, 十五世紀, 十六世紀, 十七世紀, 十八世紀初, 一千七百六十四年	東洋, 西洋, 希臘, 亞歷山大, 羅馬, 義大利, 西班牙, 英國	布拉圖, 希羅, 柯家斯他士, 域耳威亞斯, 勒柯拿 打溫斯, 及布拉斯可德家勒, 査理 五世, 沙威利, 烏可曼, 華忒, 他撇, 披京		I_01_22_01.ann
劍刀	匕首, 陌刀, 刀劍, 銅器時代, 劍, 兩脊, 刀, 一刃, 短劍, 匕, 鎧刀	淳仁天皇	日本	蚩尤, 桃氏	類書, 周官	I_01_11_05.ann
蘿葍糖		一七四七年, 一千八百年		馬格喇甫, 亞綽得		I_01_19_20.ann
彈棉機	去核機, 軋花機, 棉花, 紡績機, 被謫, 棉花種, 子車, 去核車, 繅絲車, 文萊	忠惠王, 一七九二年	高麗, 交趾, 合衆國	江城君 文益漸, 萊, 惠尼		I_01_17_02.ann
一日刻數	百刻, 九十六刻, 六十分, 八刻零二十分, 初初刻一十分, 初一刻, 初二刻, 初三刻, 初四刻, 正初刻, 一十分, 正一刻, 四刻, 八刻, 十二時初, 正各十分, 二百四十分, 四刻, 西法, 八刻, 日出入, 節氣, 薄蝕, 璣衡之法, 《易》數, 眞數, 八卦, 六爻, 十二辰, 陰陽之正, 先天圖, 陰七分, 陽五分, 十二時, 二十四時, 二刻半, 八十刻, 十六刻, 二百四十分, 初初刻者, 一十分, 正初刻, 正一刻, 正二刻, 正三刻, 正四刻, 天道之初, 二小刻, 四大刻	梁天監, 堯時	皇明	李之藻, 利瑪竇, 淸高宗, 李榕村光地, 章潢	渾蓋通憲, 御製·題影宋鈔儀象法要, 歷象考成, 易, 晉·天文志, 圖書編	O_01_05_22.ann
鸚鵡	鸚䳇, 鳥之能言者, 鸜鵒, 秦吉了, 山鴝, 中國則出於西南方, 白者, 紅者, 五色者, 綠鸚武, 時時上下帖其柱, 兩趾力弱口銜柱, 巧語雖稀必媚嫵, 鸚武之褪易其色, 雄者喙變丹, 雌者喙黑不變, 鸚武渡漳則不能言, 先以口啄之後行, 海邊黃魚化爲鸚武, 鸚鵒, 白鸚䳇大如小鵝, 其性畏寒, 撫其背則生瘴, 摩其背則瘖, 鳥性喜摩臆而惡摩背, 鸚武摩背而瘖, 發風, 八哥, 飼以陳皮水 以人巧敎語, 敎人言, 煙觸死, 鸚鵡慧悟 故能通佛性, 忠義之心, 池北偶談, 佛書以鸚武爲甄叔迦, 能言語, 邀賓客 誦詩作對, 靈異無比 能天上地下人間生死一切吉凶預報, 身黑嘴綠有冠, 翅白尾斑脛黃, 足交而孕, 有紅、綠、玄、白諸種, 鸚鴨, 人語鳥, 鸚傳以嬰 言其穉也, 䳇傳以母 言其老也, 善含櫻桃, 巧惠尤近女子, 嬰者孩女之稱也, 母者 老婦之稱也, 橿鳥	英廟庚寅, 雛時每於天未明時, 萬曆, 日本聖武天皇天平四年五月庚申, 唐玄宗開元二十年, 新羅聖德王三十一年壬申, 世祖時	我東, 林邑, 安南, 唐, 大梁山, 首陽, 泗上, 日本, 新羅, 南琉球, 震朝國	綠天館, 眉山, 王士禎, 沈括, 張泌, 邵伯溫, 劉義慶, 劉憲, 王初, 白居易, 李正平, 李山甫, 羅隱, 嚴郊, 崔璞, 魏朴, 羅鄴, 張謂, 胡曾, 金長孫, 佔畢齋金公宗直, 炯庵, 李百, 釋道盛, 沈捷, 柳冷齋得恭	禮, 禽經, 鐵圍山叢談, 不離飛鳥編, 綠鸚䳇, 文與可墨竹記, 香祖筆記, 嶺南雜志, 蘇沈良方序, 花鏡, 嶺南雜記, 說郛, 王弇州集, 心經, 眉公祕笈, 粧樓記, 聞見錄, 宣驗記, 續日本記, 淮南子, 酉陽雜俎, 俊靈機要, 物理小識, 譯語類解, 珊瑚網, 增訂心相百二十善, 花底拾遺, 北遊錄	O_19_01_07.ann
時間	曆象家, 一日, 十二時, 一時, 初初, 正初, 初一, 初二, 初三, 初四, 正一, 正二, 正三, 正四, 十刻, 六十分, 埃及人, 日出, 日沒, 希臘人, 猶太人, 四時, 二更, 三更, 羅馬人, 第一漂涅戰爭, 晝夜, 二十四時法		泰西			I_01_01_14.ann
誥誓	作誥, 作誓, 後世, 大獘, 文章, 事實, 播告, 疑惑, 敗壞, 橫罹, 售奸, 世道, 人情, 文字, 州里, 勘結					S_07_01_15.ann
五星四七宿眞形圖	五緯, 四七宿, 二十八宿, 金爲女形, 火爲童子形, 木爲帝王形, 土爲老人形, 水星, 昂形如梯, 畢形如芝, 參形如婦人, 井形如足跡, 鬼如佛胸, 柳如蛇, 張如瞿曇, 軫如人手, 房如瓔珞, 心如大麥, 尾如蝎, 翼如牛頭, 斗如人形, 虛如鳥, 婁如馬, 心星, 香髦, 金星似月, 土星似雞卵有兩珥, 木星四圍有四小星, 房、心二星	唐		丹元子, 梁文瓚, 閻立本, 王麟洲世懋, 楊升菴愼, 王逸	步天歌, 廣川畫跋·五星二十八宿眞形圖, 五星二十八宿圖, 五嶽眞形圖, 道藏傳五曜圖, 經說, 澹圃畫品, 二十八宿粉本, 丹鉛錄, 二十八宿眞形圖, 丹鉛總錄, 楚辭·九歌, 注, 山海經, 五曜圖·二十八宿眞形圖, 演禽, 玉曆通政經, 異物志	O_01_02_11.ann
書契文字	文字, 繩, 書契, 書字, 功用, 思想, 代表物, 意思, 理會, 畵, 象形文字, 子母調音, 梵字, 伽盧字, 左旋法, 漢字, 俚讀, 公私 文狀, 子母 二十八字, 國文, 博士, 皇子, 往敎, 日本 文字, 唐의 音韻, 片假名, 四十五字, 羅馬字, 改良, 通用	應神天皇, 聖武天皇, 西紀元前 二一二二年頃, 西紀元前 一四九三年	竺笁國, 支那, 新羅, 本朝, 日本, 百濟, 泰西, 埃及, 非尼西亞國, 希臘, 歐美, 英吉利, 法蘭西, 西班牙, 希臘, 斯格拉窩尼亞, 德意志, 義大利, 俄羅斯, 拉丁, 希伯流, 波斯, 土耳其, 亞剌比亞	伏羲氏, 史皇氏, 蒼頡, 薛聰, 世宗, 王仁, 眞吉備吉備眞備, 亞當, 塞, 美尼斯, 亞多德斯, 加多馬斯	論語, 千字文	I_01_04_01.ann
巫祝	史巫, 女巫, 歲時, 祓除	殷, 周			易, 周禮	I_01_25_04.ann
攪車制度	攪軸, 攪車, 草綿, 游釋, 螺轉軸, 一人獨攪之車, 剝綿之聲, 三惡聲, 雙轉攪車, 掉枝, 戛摩之聲, 蝕綿, 螺車, 剝車, 五營, 衲線, 十字風輪, 轆轤木, 鑯軸, 剝蝕, 東俗, 苦櫧, 哥斯木, 二年木, 剝綿, 蝕綿, 蝕花剝實, 橡槲	麗朝, 元, 正廟朝末季, 戊寅	國中, 燕, 耽羅, 中原	文三憂, 李茯菴	農政全書, 授時通考, 天工開物, 五洲書種, 李家圖書約, 耕織圖	O_10_01_16.ann
賑貸和糴	還穀, 賑貸, 賑恤, 寒士, 逋欠, 常平, 和糴, 穀價, 官吏, 立法, 出納, 市中, 什一之稅, 賑民, 賠補, 國用, 旅師, 鋤粟, 屋粟, 間粟			柳磻溪		S_07_01_35.ann
裲襠	褙子, 臂衣, 吐手				釋名	I_01_18_11.ann
韻書	文字, 押韻, 賡載歌, 平上去入, 四聲法, 字書		支那, 梁, 漢, 陳	唐堯, 沈約, 周公, 許愼, 顧野王	爾雅, 說文, 玉篇	I_01_04_06.ann
羣憝				崔忠獻, 明宗, 煕宗	麗史論, 佔畢齋	D_15_01_02.ann
曆法	作曆, 農功, 節氣, 寒溫, 曆日, 太初曆, 元嘉曆, 大衍曆, 授時曆, 大統曆法, 時憲曆法, 太陰曆, 麟德曆法, 宣明曆, 太史, 七政筭法, 回回曆法, 時憲曆, 儀鳳曆, 新曆, 太陽曆法, 遵用, 古法	漢武帝, 劉宋, 唐玄宗, 元 世祖, 明, 箕子, 文武王 十四年, 高麗 太祖, 文宗 六年, 世宗, 仁祖 卄二年, 欽明天皇, 持統天皇 四年, 文德天皇 天安 元年, 靈元天皇, 西 一千五百八十二年	巴郡, 新羅, 唐, 本朝, 日本, 百濟, 泰西, 埃及, 希臘, 羅馬, 俄國	黃帝, 容成, 楊泉, 神農氏, 洛下閎, 顓頊, 何承天, 一行, 耶律楚材, 湯若望, 德福, 金成, 大春日眞野麻呂, 安陪倍泰福, 羅柯耳斯王, 潘皮利亞王, 司査, 羅馬法王 古勤哥利古勒哥利 十三世	世本, 物理論, 益部耆舊傳	I_01_01_09.ann
醫藥	作醫, 嘗味, 草木, 百草, 醫學博士, 敎授, 醫術, 醫, 邀致	神文王 十一年, 箕子, 欽明天皇, 允恭皇	新羅, 日本, 百濟	巫彭, 黃帝, 岐伯, 神農	說文, 帝王世紀, 本草經, 難經, 甲乙經	I_01_25_01.ann
酒	會飮酒食會飮會食, 帝女, 秫酒, 釀酒師, 釀法		日本, 百濟	儀狄, 少康, 仁番	世本	I_01_19_05.ann
電信機	電氣學者, 電氣, 磁針, 受信機, 磁器體, 牽引力, 打鐘, 電信, 信號, 印字電信機	一八十九年, 同 三十一年, 一八三七年, 同 四十四年, 一八四三年	丁抹, 合衆國, 柯耳巴尼, 英, 華盛頓, 巴耳底摩亞	衣耳斯踼, 約瑟顯理, 惠斯頓, 括克, 摩耳斯		I_01_22_07.ann
喇叭	軍中, 號筒		埃及, 衣色		紀效新書	I_01_21_25.ann
屛風	天子, 宁扆, 幌, 屛				禮記, 周禮	I_01_23_11.ann
養賢庫	贍學錢, 國學, 養士, 米, 贊成事, 百官, 銀布, 出捐, 王, 內庫, 捐助, 奴婢, 學校, 勸學田, 大學	睿宗 十四年 秋七月, 高宗 三十年, 忠烈王 三十年, 桓武天皇	高麗, 日本	崔怡, 安裕		I_01_06_09.ann
亞鉛		十六世紀	西洋			I_01_27_07.ann
衰季思亂	兵亂, 飢渴, 肝腦, 門族, 才能, 思亂, 罪籍, 政刑, 忿嫉, 濟活, 困窮, 明王, 恐難, 外侮, 伐國, 內潰, 自戕之器			孟子		S_07_01_80.ann
鞍	繩鞚, 革鞮, 皮韉, 革鞍, 鉄鑣, 婦人鞍, 皇后, 轡, 御者, 紱, 東俗, 革, 勒, 絡, 馬頭, 御, 勒, 覊, 啣, 鉄, 鑣, 包, 包含, 珂, 馬勒, 玉珂, 障泥, 黃地, 金縷, 錦障泥, 豹皮障泥, 鞭, 策, 箠, 革鞭, 罪人, 驅馬, 鞭弭, 馬蹄鐵, 羌胡	周, 四世紀, 一三八十年, 漢, 魏, 底伯里亞斯	西洋, 英, 羅馬	太公, 理察 二世	六韜, 字彙, 魏志, 左傳	I_01_11_11.ann
海底電信	電線, 電信, 空中電綫, 地下電線	一八四八年, 一八五八年, 同六十六年, 一千八百七十六年	合衆國, 赫順河, 紐育, 大西洋, 歐美, 德國	西剌斯威斯脫飛耳		I_01_22_08.ann
忖	思					D_11_01_25.ann
住宅	穴居, 木巢, 加櫓, 三派, 埃柯尼泒派, 可里斯安泒派, 多列泒派	紀元前六世紀	支那, 泰西, 希臘	有巢氏		I_01_20_01.ann
風角	風覺, 鳥占, 方, 南方, 家人卦, 東方, 益卦, 時, 春, 發生之氣, 夏, 長養之氣, 秋, 肅殺, 冬, 凜冽, 色, 黃紅紫, 吉, 白兵刃之氣, 黑凶赤, 災, 聲, 波濤, 驚, 發哽咽, 憂虞, 奏樂, 喜事, 淸緩而來 徐徐而去, 吉, 占風之術, 兵家, 農桑家, 占筮家, 觀梅占, 噓氣, 捕風捉影, 候風之法, 高逈之地, 五丈竿, 木槃, 八卦, 十二辰, 三足木鳥, 雞羽, 吉祥之風, 日色, 風氣, 王氣, 人心, 吉祥, 陽德, 丙戌, 庚子, 陽, 陰德, 乙德, 庚, 丁德, 壬, 合德, 旺氣, 凶災之風, 刑殺, 五音, 凶災, 刑衝, 八方, 善惡, 一, 土, 三, 火, 五, 水, 七, 金, 九, 木, 子午庚, 丑未辛, 寅申戊, 卯酉己, 辰戌丙, 巳亥, 十二支辰, 五行, 子, 陽宮, 午, 陰宮, 丑寅, 陽徵, 未申, 陰徵, 卯, 陽羽, 酉, 陰羽, 辰, 陽商, 戌, 陰商, 巳, 陽角, 亥, 陰角, 五音, 五墓, 相生相克, 吉凶, 主客之法, 甲子, 巳亥, 木角, 四殺, 天氣, 白濁昏塞, 凶風, 三刑, 寅刑巳, 巳刑申, 申刑寅, 未刑丑, 丑刑戌, 戌刑未, 子刑卯, 卯刑子, 寅午戌殺, 辛卯未殺, 申子辰殺, 巳酉丑殺, 四殺, 八節日, 立春, 艮方, 春分, 震方, 立夏, 巽方, 立秋, 坤方, 秋分, 兌方, 立冬, 乾方, 夏至, 離方, 冬至, 坎方, 六情日, 寅午戌日, 廉貞風, 申子辰日, 貪狼風, 巳酉丑日, 寬大風, 亥卯未日, 陰賊風, 北方水, 水性, 東方木, 木性, 南方火, 火性, 西方金, 姦邪風, 公正風, 寅午戌巳酉丑日, 吉風, 申子辰亥卯未日, 凶風, 觀風, 察將, 宮風, 商風, 角風, 徵風, 羽風, 主客, 子陽宮, 午陰宮, 土, 丑寅, 陽徵, 未申, 陰徵, 火, 卯陽羽, 酉陰羽, 水, 辰陽商, 戌陰商, 金, 巳陽角, 亥陰角, 木, 辰戌, 子午宮, 用兵, 母來翊子, 子來扶母, 雲從龍風從虎, 龍虎相交, 鬼風, 天時, 泣師, 洗尸, 受角之日, 戊戌, 戊辰, 癸丑, 癸未, 角日, 受宮之日, 丙戌, 丙辰, 辛未, 辛丑, 受宮日, 風攻, 旋射, 旋風, 風勢, 四激, 春戌, 夏丑, 秋辰, 冬未, 受商之日, 受羽之日, 受宮之日, 風角要訣, 帝王, 後妃, 疾病, 憂患, 死喪, 哭泣, 火災, 宮寺, 口舌, 火, 烽燧, 庶人, 土功, 飛蟲, 詔誥, 書檄, 旱, 郵驛, 尉侯, 雨霖, 霧, 霜雪, 雷電, 沈陰, 雹, 商金, 徵火	漢桓帝, 漢桓帝九年		朱夫子, 張平子, 邵康節, 張成, 李膺, 窂修, 茅氏元儀, 二如堂王象晉, 康節邵夫子, 虙氏, 李淳風, 謝臨, 張衡, 虙氏, 李淳風, 京房	語類·論文篇, 心易, 漢史, 黃帝素問, 武備志·局圖, 群芳之譜, 心易	O_01_03_05.ann
童丱	覊貫, 交叉剪髮, 總角			穀梁赤		I_01_03_11.ann
歷代甲子	天開, 地闢, 甲子, 十紀, 二百二十七萬四千二百四十九年, 二百七十六萬歲, 緯書, 開闢, 獲麟, 二百七十八萬歲, 武王伐紂, 上元甲子, 中元甲子, 周武王伐殷, 元始天尊, 開闢, 延康, 赤明, 龍漢, 開皇, 元會運世, 方圜積數, 元數, 日月五星, 曆元, 太極, 章微, 日法, 混元數, 衍數, 地運變數, 天地再變之數, 彗日之虹	魏, 魯哀公十有四年, 淸, 魯隱公元年己未, 己卯, 春秋, 武王克殷二年, 戊子, 元辛巳, 殷帝辛十八年, 武王元年, 建國元年, 周武王七年, 箕子七年, 淸道光二十七年, 四百五十八年, 六百四十年, 八百七十三年, 四十九年, 四百六十九年, 一年, 一百五十五年, 一百九十八年, 二百八十九年, 五十三年, 三百二十年, 八十八年, 自洪武元年戊申, 崇禎戊辰二百六十一年, 伏羲元年甲辰, 一千七百四十年, 桓帝時, 皇明萬曆, 淸道光二十七年, 漢武帝元狩六年, 黃帝元年, 淸仁宗嘉慶八年, 我純宗四年, 甲子年, 甲子月, 甲子日, 甲子時, 世宗二十六年甲子, 純宗四年	南滙, 朝鮮, 夏, 商, 周, 秦, 漢, 魏, 晉, 宋, 齊, 梁, 陳, 隋, 唐, 後五代, 宋, 元, 明, 拂林, 漢大秦國, 中國, 高麗, 宋, 皇明	盤古, 虞舜, 張揖, 吳省欽, 司馬彪, 羅泌, 陳恕, 黃宗羲, 隱公, 武王, 周公, 成王, 班氏, 箕子, 成王, 方中履, 伏羲, 舜, 邵子, 關子明, 一行, 鄧綺, 金希寧, 徐花潭敬德, 成大谷運, 許眉叟穆, 邵子, 康節, 秦曉山, 司馬溫公光, 薛應旂, 劉道原, 大庭, 無懷氏, 堯, 舜, 王質景文	歷朝捷錄, 廣雅, 白華前稿·三五徵實錄序, 歷志, 路史, 通鑑外紀, 歷代甲子考, 漢志, 史記, 封禪書, 授時, 統運紀年, 隋·志, 明史, 三統曆, 太衍曆, 太一曆, 經世, 經世, 經世書, 經世紀數原本, 寶鑑, 歷代甲子考, 萬年曆, 千歲曆, 經世指掌, 資治通鑑, 甲子會紀, 華東甲子考, 五洲書種, 疑年譜, 三統曆, 紀年, 長含經, 皇極經世	O_01_07_02.ann
無影地	白人之南, 建木之下, 無影, 地平線, 天頂線, 赤道	晉, 淸高宗, 晉	滿剌加國, 廣東肇慶府, 高州府, 天竺國	李石, 熊三拔, 李榕村光地, 南懷仁, 懷仁, 何承天, 釋慧嚴	續博物志, 呂氏春秋, 簡平儀, 榕村全書, 記南懷仁問答, 高僧傳	O_01_02_02.ann
顯微鏡		一六二 年	荷蘭, 英	可涅利斯脫勒伯耳, 氏福福氏		I_01_22_33.ann
琵琶	四絃, 胡中, 馬上, 琵, 琶, 長城之役, 百姓, 鄕琵琶, 唐琵琶, 亞波羅神, 八絃琵琶, 七絃琵琶, 六絃琵琶	唐 天寶	新羅, 希臘, 北齊, 唐	秦始皇, 李德忱, 鄭喜子, 史盛		I_01_21_09.ann
子周年						D_15_01_22.ann
解剖法	身體, 解剖, 古代, 西醫, 名醫	西紀 二百十年		高倫		I_01_12_07.ann
火食	烹煮, 肉類, 火上, 獸皮, 細石, 沸騰, 器, 食穀, 釋米, 石上			燧人氏	古史考	I_01_19_01.ann
道敎	降生, 淸淨無爲, 祖, 支流, 神仙修煉, 東漢人, 道家, 張天師	周, 商 武丁 庚辰, 營留王 六年	支那, 楚國 苦縣, 高句麗	老子 李聃, 張道陵	道德經	I_01_07_02.ann
市門						D_15_01_27.ann
巾車、擇勝亭	帔帷牀席, 巾車, 巾車法, 擇勝亭, 棧車, 下澤車, 車廂, 四柱, 櫃牀, 卓大, 香爐, 筆硯, 經書, 鉤釘, 騎驢, 小輪, 一笠小亭, 款段馬, 農車	漢		蘇東坡, 陶淵明, 馬援, 少游	臞仙神隱, 遵生八牋, 歸去來辭, 臞仙神隱	O_10_01_17.ann
嵩呼萬歲	拜, 稽首, 天子, 萬年, 萬歲, 封禪, 朝賀, 三呼		嵩山	虎, 漢 武帝	詩傳	I_01_08_02.ann
土鼓	簣桴蕢桴			伊耆氏		I_01_21_18.ann
鹽池	鹽濼, 鹽池, 醎煑		鹽池, 臨潢, 烏古里石壘部, 中國, 我國, 二浙	龜山	金, 食貨志	S_01_01_07.ann
戶布	里布, 屋粟, 夫家之稅, 夫稅, 家稅, 平吳, 戶調之式, 丁男, 絹, 綿, 女, 次丁男, 半輸			晋 武帝	周禮	I_01_10_02.ann
天鵞絨	綿天鵞絨	十三世紀, 一七四七年	西洋, 英			I_01_17_06.ann
